rid,1X,1Y,2X,2Y,3X,3Y,4X,4Y,5X,5Y,6X,6Y,7X,7Y,8X,8Y,9X,9Y,10X,10Y
R_1NgknTKpLBtTCrb,1016,395,991,290,956,180,1123,986,1158,859,1181,758,,,,,,,,
R_a9wxAYrbsSLDak9,,,,,,,,,,,,,,,,,,,,
R_1q1VpX76eyIu2gu,,,,,,,,,,,,,,,,,,,,
R_3kBsLreEEoD7uUg,,,,,,,,,,,,,,,,,,,,
R_0P4f3N0C0sgUqXf,,,,,,,,,,,,,,,,,,,,
R_2zG7ly3grSJTMJ6,,,,,,,,,,,,,,,,,,,,
R_2fwJZ5eWHTkgylq,,,,,,,,,,,,,,,,,,,,
R_3hmcV0CwZPOzqqU,,,,,,,,,,,,,,,,,,,,
R_2y41pJM6UvrFSMm,,,,,,,,,,,,,,,,,,,,
R_3oHIQslCo0OXo9M,,,,,,,,,,,,,,,,,,,,
R_z20sEf49E31VFuN,,,,,,,,,,,,,,,,,,,,
R_2s7mSu3Er5g1Eas,,,,,,,,,,,,,,,,,,,,
R_2PiHm70k2xnQR7T,,,,,,,,,,,,,,,,,,,,
R_3qeT4VsdvbD25fg,,,,,,,,,,,,,,,,,,,,
R_12GDCmjJHmbBqlJ,,,,,,,,,,,,,,,,,,,,
R_UJCgMfH8zBYwIZH,,,,,,,,,,,,,,,,,,,,
R_3qPX41quyllo0nB,,,,,,,,,,,,,,,,,,,,
R_3RflkzX7DNNSQTO,,,,,,,,,,,,,,,,,,,,
R_12lPSRhxb06SFjy,,,,,,,,,,,,,,,,,,,,
R_1qaqbZ3XWABQEYO,,,,,,,,,,,,,,,,,,,,
R_3NKyvtzhgOQbgIn,,,,,,,,,,,,,,,,,,,,
R_3EE8BTXaPoXoBZJ,,,,,,,,,,,,,,,,,,,,
R_2BlE7alOjwCzo8h,,,,,,,,,,,,,,,,,,,,
R_POkGb7yiXzxrjaN,,,,,,,,,,,,,,,,,,,,
R_a45XTD6U5ZOb5Jv,,,,,,,,,,,,,,,,,,,,
R_3CT1OO2h6Dgcxrn,,,,,,,,,,,,,,,,,,,,
R_1E526uQx2VIoXmf,,,,,,,,,,,,,,,,,,,,
R_UhGQ2FlAnOlC9nH,,,,,,,,,,,,,,,,,,,,
R_9FVnhKRLwu8VUK5,,,,,,,,,,,,,,,,,,,,
R_2VEoOOLiZxgDDZ6,,,,,,,,,,,,,,,,,,,,
R_uglcQLeabg8URBT,,,,,,,,,,,,,,,,,,,,
R_3rcURouRS1JJLPz,,,,,,,,,,,,,,,,,,,,
R_1EdpK50tXU2Oxck,,,,,,,,,,,,,,,,,,,,
R_3fK0LhoTGogHF2c,,,,,,,,,,,,,,,,,,,,
R_3qx3bk8jiNYgyT3,,,,,,,,,,,,,,,,,,,,
R_28GsMCbyrvHaoiP,,,,,,,,,,,,,,,,,,,,
R_1JVB0CtbdT0WFGd,,,,,,,,,,,,,,,,,,,,
R_UfJrO28uUL7t6nL,,,,,,,,,,,,,,,,,,,,
R_1CevVr5GWgcVBQw,,,,,,,,,,,,,,,,,,,,
R_2D5DrXAKLxHG3gG,,,,,,,,,,,,,,,,,,,,
R_1ODZQGyfQqzeCCg,,,,,,,,,,,,,,,,,,,,
R_3exzxusxThwmbLo,,,,,,,,,,,,,,,,,,,,
R_22G1KNwwvql1QW7,,,,,,,,,,,,,,,,,,,,
R_2Sf4JzwAXFLc2TN,,,,,,,,,,,,,,,,,,,,
R_2c1wlc6faCe5e4f,,,,,,,,,,,,,,,,,,,,
R_1LRS92n1J5ONeyk,,,,,,,,,,,,,,,,,,,,
R_3CYdrPzsG5FiQEx,,,,,,,,,,,,,,,,,,,,
R_2EuYZ9QYy34doLq,,,,,,,,,,,,,,,,,,,,
R_1Cdn2VDqDGH1fis,,,,,,,,,,,,,,,,,,,,
R_5j8i9FCYY6TzTFv,,,,,,,,,,,,,,,,,,,,
R_2pLGlco9laeqfD2,,,,,,,,,,,,,,,,,,,,
R_1K0wQ5gzPMaWFOJ,,,,,,,,,,,,,,,,,,,,
R_3P5iQonhpTVo37b,,,,,,,,,,,,,,,,,,,,
R_3iKaWnB4fDDiQHs,,,,,,,,,,,,,,,,,,,,
R_31gfB68nw61UUDw,,,,,,,,,,,,,,,,,,,,
R_2qmlLlXYutS1cns,,,,,,,,,,,,,,,,,,,,
R_3KOPseMp78I16pO,,,,,,,,,,,,,,,,,,,,
R_1BWTgvkWLND4WaJ,,,,,,,,,,,,,,,,,,,,
R_1doaSHiT5BUqXG5,,,,,,,,,,,,,,,,,,,,
R_sYZHAe8A9gfVCz7,,,,,,,,,,,,,,,,,,,,
R_1LMeiUEu5MG8x4Y,,,,,,,,,,,,,,,,,,,,
R_265U45G3qb0eFUK,,,,,,,,,,,,,,,,,,,,
R_1Ne2MbtKWH4m4Ei,,,,,,,,,,,,,,,,,,,,
R_1oBC0Nh5ZHqxzUj,,,,,,,,,,,,,,,,,,,,
R_2ro1wNRwJPRjEJp,,,,,,,,,,,,,,,,,,,,
R_DkLyfylc5Q7o3Bf,,,,,,,,,,,,,,,,,,,,
R_Ungn5t6HeyZMmBz,,,,,,,,,,,,,,,,,,,,
R_1JVFjCdPLbRQ1sK,,,,,,,,,,,,,,,,,,,,
R_29ag9vDRIRsutx5,,,,,,,,,,,,,,,,,,,,
R_10oZkkJStP6Qvgq,,,,,,,,,,,,,,,,,,,,
R_2EaUIQBgRAn6JFO,,,,,,,,,,,,,,,,,,,,
