rid,x,y
R_1NgknTKpLBtTCrb,1014,-378
R_1NgknTKpLBtTCrb,1173,-785
R_1NgknTKpLBtTCrb,1133,-909
R_1NgknTKpLBtTCrb,1104,-1001
R_1NgknTKpLBtTCrb,1089,-447
R_1NgknTKpLBtTCrb,962,-265
R_7WIg1op0j9iC5od,937,-75
R_7WIg1op0j9iC5od,1127,-229
R_7WIg1op0j9iC5od,1221,-382
R_7WIg1op0j9iC5od,891,-265
R_7WIg1op0j9iC5od,906,-753
R_1MRsZSNd25R8ke3,1142,-867
R_1MRsZSNd25R8ke3,1048,-300
R_1MRsZSNd25R8ke3,829,-292
R_1MRsZSNd25R8ke3,1025,-152
R_1MRsZSNd25R8ke3,897,-140
R_1MRsZSNd25R8ke3,1106,-473
R_1MRsZSNd25R8ke3,998,-527
R_1MRsZSNd25R8ke3,1169,-744
R_2c5Uk3uXB5MPXsk,940,-299
R_2c5Uk3uXB5MPXsk,1198,-609
R_798wBl9r4uIeRj3,1313,-930
R_798wBl9r4uIeRj3,1200,-942
R_798wBl9r4uIeRj3,1281,-693
R_2rO52qpSyrB7Bx2,968,-157
R_2rO52qpSyrB7Bx2,977,-334
R_2rO52qpSyrB7Bx2,1037,-489
R_2rO52qpSyrB7Bx2,1146,-631
R_2rO52qpSyrB7Bx2,1139,-802
R_2rO52qpSyrB7Bx2,1104,-974
R_1LYxkDtyoB3PYOY,885,-301
R_1LYxkDtyoB3PYOY,1058,-516
R_1q40l4tAaxlxK34,1235,-407
R_1q40l4tAaxlxK34,1236,-272
R_1q40l4tAaxlxK34,1254,-658
R_1q40l4tAaxlxK34,1244,-765
R_1q40l4tAaxlxK34,1229,-884
R_1q40l4tAaxlxK34,1231,-974
R_1q40l4tAaxlxK34,1252,-512
R_1nW5uzSAoxLAQLb,920,-182
R_1nW5uzSAoxLAQLb,1067,-453
R_1nW5uzSAoxLAQLb,1119,-849
R_2BrgtxgTpDt7sD7,977,-146
R_2BrgtxgTpDt7sD7,996,-336
R_2BrgtxgTpDt7sD7,1046,-500
R_2BrgtxgTpDt7sD7,1181,-642
R_2BrgtxgTpDt7sD7,1304,-515
R_2BrgtxgTpDt7sD7,768,-319
R_2BrgtxgTpDt7sD7,628,-269
R_27eSFmXw8BotHHO,883,-269
R_27eSFmXw8BotHHO,1125,-888
R_27eSFmXw8BotHHO,1157,-241
R_3lr9TGlMIZwwlhQ,780,-180
R_3lr9TGlMIZwwlhQ,970,-273
R_3lr9TGlMIZwwlhQ,1083,-417
R_3lr9TGlMIZwwlhQ,975,-535
R_3lr9TGlMIZwwlhQ,1165,-627
R_2SHatLslR4U6Yd5,1033,-280
R_2VInSUCBS1uLxX8,1035,-161
R_12FPhvshaPuG3Cy,1006,-165
R_12FPhvshaPuG3Cy,902,-153
R_12FPhvshaPuG3Cy,866,-230
R_12FPhvshaPuG3Cy,1035,-247
R_12FPhvshaPuG3Cy,1058,-445
R_12FPhvshaPuG3Cy,1108,-493
R_12FPhvshaPuG3Cy,1125,-574
R_12FPhvshaPuG3Cy,1194,-710
R_12FPhvshaPuG3Cy,1112,-971
R_12FPhvshaPuG3Cy,1129,-844
R_1DTqdD66QT7ZC8o,947,-299
R_1DTqdD66QT7ZC8o,1016,-422
R_1DTqdD66QT7ZC8o,1119,-474
R_1DTqdD66QT7ZC8o,1129,-938
R_1DTqdD66QT7ZC8o,1162,-829
R_1DTqdD66QT7ZC8o,1190,-723
R_1DTqdD66QT7ZC8o,1181,-602
R_2TtnuTzNnhBtqdW,925,-311
R_sNnnuO4kN9WSMUx,906,-144
R_sNnnuO4kN9WSMUx,1041,-334
R_sNnnuO4kN9WSMUx,1016,-510
R_sNnnuO4kN9WSMUx,1169,-752
R_2amiu8gsMu4QtVK,845,-307
R_2amiu8gsMu4QtVK,1048,-297
R_2amiu8gsMu4QtVK,1025,-458
R_1F4cq2VcXyujTSZ,902,-742
R_1F4cq2VcXyujTSZ,947,-551
R_1F4cq2VcXyujTSZ,991,-397
R_1F4cq2VcXyujTSZ,902,-326
R_1F4cq2VcXyujTSZ,824,-272
R_1F4cq2VcXyujTSZ,912,-159
R_1F4cq2VcXyujTSZ,1077,-491
R_1F4cq2VcXyujTSZ,1123,-664
R_1F4cq2VcXyujTSZ,1096,-961
R_1F4cq2VcXyujTSZ,1131,-806
R_2WCEBjh9Cp3NqKa,1046,-186
R_2WCEBjh9Cp3NqKa,864,-173
R_2WCEBjh9Cp3NqKa,1112,-723
R_2WCEBjh9Cp3NqKa,1217,-892
R_OPCFphBKgfWi2Gt,965,-298
R_qw1x4Y35iQxHi49,1114,-987
R_qw1x4Y35iQxHi49,1037,-494
R_1lc0hbugfszGMW1,843,-290
R_1lc0hbugfszGMW1,1018,-292
R_1lc0hbugfszGMW1,1062,-522
R_1lc0hbugfszGMW1,1150,-750
R_BJjLKKq5sltMvEB,1022,-151
R_BJjLKKq5sltMvEB,1001,-296
R_BJjLKKq5sltMvEB,837,-303
R_BJjLKKq5sltMvEB,1015,-454
R_BJjLKKq5sltMvEB,1131,-571
R_BJjLKKq5sltMvEB,1159,-736
R_BJjLKKq5sltMvEB,1131,-874
R_BJjLKKq5sltMvEB,1090,-1004
R_qXAlN6sPKD56zId,864,-224
R_qXAlN6sPKD56zId,1012,-152
R_qXAlN6sPKD56zId,985,-334
R_qXAlN6sPKD56zId,1050,-499
R_qXAlN6sPKD56zId,899,-539
R_qXAlN6sPKD56zId,1062,-623
R_qXAlN6sPKD56zId,1187,-591
R_qXAlN6sPKD56zId,1139,-760
R_qXAlN6sPKD56zId,822,-347
R_qXAlN6sPKD56zId,1106,-940
R_3kBXRPosb2uAyze,1212,-175
R_3kBXRPosb2uAyze,1145,-273
R_2wbFUfd5gFri1ZU,842,-303
R_2wbFUfd5gFri1ZU,1186,-735
R_2wbFUfd5gFri1ZU,1027,-329
R_2wbFUfd5gFri1ZU,1109,-489
R_CdgqNNNXTFGRysp,1198,-869
R_CdgqNNNXTFGRysp,1160,-990
R_1rp3pmKwrdgVsJT,939,-186
R_1rp3pmKwrdgVsJT,883,-255
R_3iX5ISZP2mr79Ke,1068,-372
R_3iX5ISZP2mr79Ke,942,-366
R_3iX5ISZP2mr79Ke,1128,-564
R_33BIYUX7uNsDKrh,935,-334
R_23gIesvweRFbW65,1056,-980
R_23gIesvweRFbW65,1052,-280
R_1ddmnQMj6ZBHLXj,1096,-1001
R_3G3C9nF1fTaJqmp,1119,-1017
R_3G3C9nF1fTaJqmp,1156,-894
R_3G3C9nF1fTaJqmp,1183,-794
R_3G3C9nF1fTaJqmp,1206,-650
R_3G3C9nF1fTaJqmp,1167,-543
R_3G3C9nF1fTaJqmp,1125,-445
R_3G3C9nF1fTaJqmp,1033,-386
R_3G3C9nF1fTaJqmp,1000,-276
R_3G3C9nF1fTaJqmp,945,-182
R_3G3C9nF1fTaJqmp,1033,-65
R_3qeyLTt86f6nnpC,860,-324
R_3qeyLTt86f6nnpC,879,-217
R_3qeyLTt86f6nnpC,972,-159
R_3qeyLTt86f6nnpC,1004,-315
R_3qeyLTt86f6nnpC,1048,-495
R_3qeyLTt86f6nnpC,1158,-618
